datetime,code,open,close,high,low,vol,amount,p_change
2018-12-03,000300,3260.69,3260.95,3273.64,3228.36,1214871.0,145828413440.0,2.78
2018-11-30,000300,3136.2,3172.69,3175.15,3132.42,709210.0,77297696768.0,1.12
2018-11-29,000300,3198.83,3137.65,3204.86,3137.65,804984.0,86927613952.0,-1.3
2018-11-28,000300,3137.75,3178.93,3179.41,3126.62,748819.0,77620551680.0,1.33
2018-11-27,000300,3152.77,3137.24,3162.01,3126.29,554078.0,61946261504.0,-0.13
2018-11-26,000300,3148.67,3141.24,3169.44,3131.64,593791.0,61899481088.0,-0.07
2018-11-23,000300,3208.59,3143.48,3212.2,3139.39,846382.0,86864945152.0,-2.21
2018-11-22,000300,3232.97,3214.43,3235.45,3199.7,650982.0,70083371008.0,-0.37
2018-11-21,000300,3187.1,3226.49,3230.26,3185.24,841197.0,87813275648.0,0.25
2018-11-20,000300,3268.08,3218.41,3278.78,3213.68,1093611.0,114155069440.0,-2.31
2018-11-19,000300,3258.79,3294.6,3294.6,3251.07,1159565.0,123188781056.0,1.13
2018-11-16,000300,3242.88,3257.67,3282.39,3223.72,1268768.0,135379804160.0,0.47
2018-11-15,000300,3201.28,3242.37,3242.38,3198.78,985588.0,100119191552.0,1.17
2018-11-14,000300,3233.64,3204.94,3239.24,3200.23,1138086.0,105386565632.0,-1.0
2018-11-13,000300,3164.92,3237.38,3254.77,3161.1,1264934.0,125603045376.0,1.01
2018-11-12,000300,3160.25,3205.14,3206.51,3152.44,880623.0,97363050496.0,1.19
2018-11-09,000300,3193.3,3167.44,3193.3,3166.31,842827.0,88194195456.0,-1.41
2018-11-08,000300,3251.73,3212.77,3253.57,3207.71,764145.0,85221662720.0,-0.28
2018-11-07,000300,3243.88,3221.91,3270.5,3218.42,916155.0,101814919168.0,-0.65
2018-11-06,000300,3254.98,3243.15,3254.98,3213.9,838691.0,91703894016.0,-0.6
2018-11-05,000300,3269.47,3262.84,3279.88,3230.36,1097066.0,123630919680.0,-0.83
2018-11-02,000300,3258.61,3290.25,3290.25,3222.44,1534661.0,178340642816.0,3.56
